epoch,loss,train_intra,train_inter,val_intra,val_inter
20,1.0002706050872803,0.9953423810005187,0.993666341304779,0.9970972728729248,0.9942683036327362
40,1.0001628398895264,0.9977105748653412,0.9964870297908783,0.9982890498638153,0.9967323997020722
60,1.0000516176223755,0.9980182731151581,0.9973568437099457,0.9979908573627472,0.9970155868530274
80,1.0002501010894775,0.998792736530304,0.9977054619789123,0.9988825595378876,0.9976832883358002
100,1.0000697374343872,0.9985777258872985,0.997496619462967,0.9989147579669952,0.9977915642261506
120,0.9998369216918945,0.9990515303611756,0.9968650369644165,0.9985076606273651,0.9975340881347656
140,0.9999920129776001,0.9986952793598175,0.9969650239944458,0.9980243802070617,0.9970659091472626
160,0.9999613761901855,0.9988712561130524,0.9974963886737823,0.9982662391662598,0.9972510068416596
180,0.9996834993362427,0.9982595801353454,0.9969122848510742,0.9988165354728699,0.9958322372436523
200,1.0003995895385742,0.9983936846256256,0.9956298868656158,0.9984903395175934,0.9965279154777527
220,0.9995725154876709,0.9982178986072541,0.9932455501556396,0.9961666131019592,0.993530930519104
240,0.999876081943512,0.9950681698322296,0.98880317735672,0.9945964765548706,0.9899598722457885
260,0.9996568560600281,0.9749951481819152,0.9172245326042175,0.9728433084487915,0.9186720671653748
280,0.9544185400009155,0.8731349301338196,0.7460310767889022,0.8828651893138886,0.7077389342188836
300,0.8768191933631897,0.7397853100299835,0.466910359159112,0.736960711479187,0.45254573208093646
320,1.0033419132232666,0.9333106124401093,0.7747029328346252,0.8871330964565277,0.6704391300678253
340,1.0018718242645264,0.954995436668396,0.8590523586273193,0.921482515335083,0.7912093312144279
360,0.9514370560646057,0.8300945806503296,0.6929608798623085,0.8982074928283691,0.7088959572017193
380,0.8666685819625854,0.609654680788517,0.31361243611574174,0.5992213946580887,0.22693087841570378
400,0.9503345489501953,0.7914764082431793,0.5480409366637469,0.7506422778964043,0.5401306347101926
420,0.9669514298439026,0.622216675132513,0.2560500617399812,0.6139756213873625,0.15704593060165645
440,0.932856023311615,0.7334903040528298,0.1573116315305233,0.7258985915780067,0.23567777520418168
460,0.8926547765731812,0.7055356031656266,0.18220762141048907,0.7000407288968563,0.1271792373135686
480,0.9161513447761536,0.665100873708725,0.191984270401299,0.794884541630745,0.05862367358803749
500,0.8989886045455933,0.7256876160204411,0.09831086862832308,0.6665377713739872,0.14253223548829555
